ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20200722-NJ-CHI-36,20200722-NJ-CHI-147,2:55,3:15,Nahomi Kawasumi,NJ,1st half,35.4,65.5,1,Jennifer Cudjoe,23.7,68.0,0
20200722-NJ-CHI-37,20200722-NJ-CHI-149,2:56,3:16,Jennifer Cudjoe,NJ,1st half,31.3,58.8,0,Bianca St. Georges,13.2,53.0,0
20200722-NJ-CHI-38,20200722-NJ-CHI-153,3:15,3:35,Bianca St. Georges,CHI,1st half,83.1,0.0,0,Sarah Christine Woldmoe,91.8,15.0,0
20200722-NJ-CHI-39,20200722-NJ-CHI-157,3:16,3:36,Sarah Christine Woldmoe,NJ,1st half,13.2,53.0,1,Nahomi Kawasumi,15.8,58.4,0
20200722-NJ-CHI-40,20200722-NJ-CHI-158,3:17,3:37,Nahomi Kawasumi,NJ,1st half,15.8,58.4,1,Sarah Christine Woldmoe,11.7,56.1,0
20200722-NJ-CHI-41,20200722-NJ-CHI-159,3:19,3:39,Sarah Christine Woldmoe,NJ,1st half,11.7,56.1,1,Nahomi Kawasumi,13.1,65.5,0
20200722-NJ-CHI-42,20200722-NJ-CHI-164,3:26,3:46,Bianca St. Georges,CHI,1st half,92.8,0.0,1,Savannah McCaskill,89.5,2.6,0
20200722-NJ-CHI-43,20200722-NJ-CHI-166,3:28,3:48,Savannah McCaskill,CHI,1st half,90.8,2.4,1,Kealia Mae Watt,95.4,6.8,0
20200722-NJ-CHI-44,20200722-NJ-CHI-176,3:33,3:53,Savannah McCaskill,CHI,1st half,99.0,15.4,0,Margaret Purce,100.1,39.7,1
20200722-NJ-CHI-45,20200722-NJ-CHI-183,4:05,4:25,Savannah McCaskill,CHI,1st half,105.0,68.0,0,Kailen Mary Sheridan,102.0,33.5,0
20200722-NJ-CHI-46,20200722-NJ-CHI-191,4:11,4:31,Zoey Goralski,CHI,1st half,83.7,16.9,1,Kealia Mae Watt,98.7,5.7,0
20200722-NJ-CHI-47,20200722-NJ-CHI-198,4:14,4:34,Kealia Mae Watt,CHI,1st half,99.6,5.1,0,Jennifer Cudjoe,97.0,31.7,1
20200722-NJ-CHI-48,20200722-NJ-CHI-205,4:20,4:40,Zoey Goralski,CHI,1st half,78.5,5.3,1,Kealia Mae Watt,84.8,6.1,0
20200722-NJ-CHI-49,20200722-NJ-CHI-211,4:22,4:42,Nahomi Kawasumi,NJ,1st half,18.9,60.1,1,Jennifer Cudjoe,19.5,43.5,0
20200722-NJ-CHI-50,20200722-NJ-CHI-212,4:27,4:47,Jennifer Cudjoe,NJ,1st half,19.5,43.5,1,Sabrina Flores,25.3,7.3,0
20200722-NJ-CHI-51,20200722-NJ-CHI-213,4:30,4:50,Sabrina Flores,NJ,1st half,25.3,7.3,1,Margaret Purce,27.1,13.9,0
20200722-NJ-CHI-52,20200722-NJ-CHI-214,4:33,4:53,Margaret Purce,NJ,1st half,27.1,13.9,0,Katie Johnson Carreon,31.4,8.6,0
20200722-NJ-CHI-53,20200722-NJ-CHI-220,4:41,5:01,Margaret Purce,NJ,1st half,25.0,0.9,0,Rachel Hill,24.3,1.2,0
20200722-NJ-CHI-54,20200722-NJ-CHI-223,4:54,5:14,Margaret Purce,NJ,1st half,24.8,0.0,1,Ifeoma Chukwufumnay Onumonu,31.3,1.2,0
20200722-NJ-CHI-55,20200722-NJ-CHI-229,4:56,5:16,Katie Johnson Carreon,CHI,1st half,73.8,66.0,1,Savannah McCaskill,73.9,56.7,0
20200722-NJ-CHI-56,20200722-NJ-CHI-239,5:02,5:22,Katie Johnson Carreon,CHI,1st half,76.9,65.3,1,Danielle Colaprico,63.2,62.3,0
20200722-NJ-CHI-57,20200722-NJ-CHI-241,5:07,5:27,Danielle Colaprico,CHI,1st half,62.0,61.4,1,Julie Beth Ertz,49.3,30.8,0
20200722-NJ-CHI-58,20200722-NJ-CHI-245,5:10,5:30,Julie Beth Ertz,CHI,1st half,48.6,25.1,1,Bianca St. Georges,103.5,19.9,0
20200722-NJ-CHI-59,20200722-NJ-CHI-247,5:13,5:33,Bianca St. Georges,CHI,1st half,82.1,3.2,0,Kailen Mary Sheridan,103.5,19.9,0
20200722-NJ-CHI-60,20200722-NJ-CHI-253,5:23,5:43,Kailen Mary Sheridan,NJ,1st half,11.0,35.4,1,Gina Loren Lewandowski,20.8,11.5,0
20200722-NJ-CHI-61,20200722-NJ-CHI-256,5:28,5:48,Gina Loren Lewandowski,NJ,1st half,28.3,9.8,1,Margaret Purce,43.0,2.0,0
20200722-NJ-CHI-62,20200722-NJ-CHI-259,5:30,5:50,Margaret Purce,NJ,1st half,43.4,2.8,1,McCall RaNae Zerboni,45.4,16.2,0
20200722-NJ-CHI-63,20200722-NJ-CHI-261,5:32,5:52,McCall RaNae Zerboni,NJ,1st half,42.6,16.0,1,Estelle Laura Johnson,31.6,34.4,0
20200722-NJ-CHI-64,20200722-NJ-CHI-265,5:35,5:55,Estelle Laura Johnson,NJ,1st half,31.9,37.2,1,Sabrina Flores,32.9,49.7,0
20200722-NJ-CHI-65,20200722-NJ-CHI-267,5:37,5:57,Sabrina Flores,NJ,1st half,32.5,48.4,1,Estelle Laura Johnson,28.7,37.2,0
20200722-NJ-CHI-66,20200722-NJ-CHI-271,5:41,6:01,Estelle Laura Johnson,NJ,1st half,35.6,43.4,1,Sarah Christine Woldmoe,48.4,34.6,0
20200722-NJ-CHI-67,20200722-NJ-CHI-273,5:42,6:02,Sarah Christine Woldmoe,NJ,1st half,48.4,34.6,1,Jennifer Cudjoe,55.3,45.3,0
20200722-NJ-CHI-68,20200722-NJ-CHI-276,5:46,6:06,Jennifer Cudjoe,NJ,1st half,59.3,48.0,1,Nahomi Kawasumi,75.4,65.6,0
20200722-NJ-CHI-69,20200722-NJ-CHI-278,5:48,6:08,Nahomi Kawasumi,NJ,1st half,74.3,65.9,1,Sabrina Flores,61.6,65.0,0
20200722-NJ-CHI-70,20200722-NJ-CHI-281,5:50,6:10,Sabrina Flores,NJ,1st half,61.2,63.3,1,Jennifer Cudjoe,58.7,50.9,0
20200722-NJ-CHI-71,20200722-NJ-CHI-285,5:52,6:12,Jennifer Cudjoe,NJ,1st half,59.2,49.1,1,Gina Loren Lewandowski,55.5,37.2,0
20200722-NJ-CHI-72,20200722-NJ-CHI-287,5:57,6:17,Gina Loren Lewandowski,NJ,1st half,66.3,31.7,1,Margaret Purce,69.0,7.3,0
20200722-NJ-CHI-73,20200722-NJ-CHI-291,6:00,6:20,Margaret Purce,NJ,1st half,69.6,7.0,1,Paige Monaghan,93.2,15.0,0
20200722-NJ-CHI-74,20200722-NJ-CHI-301,6:07,6:27,Vanessa Sue Di Bernardo,CHI,1st half,11.1,52.2,1,Zoey Goralski,41.3,68.0,0
20200722-NJ-CHI-75,20200722-NJ-CHI-303,6:10,6:30,Zoey Goralski,CHI,1st half,15.0,66.7,0,Margaret Purce,40.8,68.0,0
20200722-NJ-CHI-76,20200722-NJ-CHI-305,6:33,6:53,Margaret Purce,NJ,1st half,64.2,0.0,1,McCall RaNae Zerboni,89.7,13.5,0
20200722-NJ-CHI-77,20200722-NJ-CHI-318,6:37,6:57,Danielle Colaprico,CHI,1st half,21.0,51.7,0,McCall RaNae Zerboni,19.4,56.0,0
20200722-NJ-CHI-78,20200722-NJ-CHI-324,6:44,7:04,Katie Johnson Carreon,CHI,1st half,40.7,44.4,1,Savannah McCaskill,47.6,33.4,0
20200722-NJ-CHI-79,20200722-NJ-CHI-325,6:44,7:04,Savannah McCaskill,CHI,1st half,47.6,33.4,1,Kealia Mae Watt,56.1,17.2,0
20200722-NJ-CHI-80,20200722-NJ-CHI-335,6:55,7:15,Estelle Laura Johnson,NJ,1st half,26.9,62.3,1,Jennifer Cudjoe,31.7,50.9,0
20200722-NJ-CHI-81,20200722-NJ-CHI-337,6:56,7:16,Jennifer Cudjoe,NJ,1st half,31.7,50.9,1,Sabrina Flores,19.7,61.7,0
20200722-NJ-CHI-82,20200722-NJ-CHI-340,7:01,7:21,Sabrina Flores,NJ,1st half,18.9,61.1,1,Estelle Laura Johnson,20.5,47.7,0
20200722-NJ-CHI-83,20200722-NJ-CHI-342,7:02,7:22,Estelle Laura Johnson,NJ,1st half,20.5,47.7,1,Kailen Mary Sheridan,4.9,46.5,0
20200722-NJ-CHI-84,20200722-NJ-CHI-344,7:07,7:27,Kailen Mary Sheridan,NJ,1st half,5.7,43.1,1,Gina Loren Lewandowski,25.1,14.3,0
