ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20200722-NJ-CHI-45,20200722-NJ-CHI-315,6:37,6:57,McCall RaNae Zerboni,NJ,challenge,1st half,0,84.0,16.3
20200722-NJ-CHI-46,20200722-NJ-CHI-322,6:39,6:59,Katie Johnson Carreon,CHI,recovery,1st half,null,25.4,62.9
20200722-NJ-CHI-47,20200722-NJ-CHI-331,6:50,7:10,Kealia Mae Watt,CHI,challenge,1st half,0,82.1,21.1
20200722-NJ-CHI-48,20200722-NJ-CHI-332,6:50,7:10,Estelle Laura Johnson,NJ,challenge,1st half,1,22.9,46.9
20200722-NJ-CHI-49,20200722-NJ-CHI-355,7:20,7:40,Alyssa Naeher,CHI,recovery,1st half,null,8.3,42.8
20200722-NJ-CHI-50,20200722-NJ-CHI-364,7:31,7:51,Nahomi Kawasumi,NJ,recovery,1st half,null,44.4,58.1
20200722-NJ-CHI-51,20200722-NJ-CHI-369,7:33,7:53,Vanessa Sue Di Bernardo,CHI,challenge,1st half,1,56.1,19.2
20200722-NJ-CHI-52,20200722-NJ-CHI-370,7:33,7:53,Vanessa Sue Di Bernardo,CHI,tackle,1st half,1,56.1,19.2
20200722-NJ-CHI-53,20200722-NJ-CHI-371,7:33,7:53,Sarah Christine Woldmoe,NJ,challenge,1st half,0,48.9,48.8
20200722-NJ-CHI-54,20200722-NJ-CHI-376,7:34,7:54,Kealia Mae Watt,CHI,recovery,1st half,null,59.2,16.9
20200722-NJ-CHI-55,20200722-NJ-CHI-385,7:42,8:02,Gina Loren Lewandowski,NJ,challenge,1st half,0,12.7,46.2
20200722-NJ-CHI-56,20200722-NJ-CHI-386,7:42,8:02,Bianca St. Georges,CHI,take_on,1st half,1,92.3,21.8
20200722-NJ-CHI-57,20200722-NJ-CHI-387,7:42,8:02,Gina Loren Lewandowski,NJ,tackle,1st half,0,12.7,46.2
20200722-NJ-CHI-58,20200722-NJ-CHI-413,9:37,9:57,Jennifer Cudjoe,NJ,challenge,1st half,0,62.5,44.3
20200722-NJ-CHI-59,20200722-NJ-CHI-414,9:37,9:57,Jennifer Cudjoe,NJ,take_on,1st half,0,62.5,44.3
20200722-NJ-CHI-60,20200722-NJ-CHI-415,9:37,9:57,Danielle Colaprico,CHI,challenge,1st half,1,42.5,23.7
20200722-NJ-CHI-61,20200722-NJ-CHI-416,9:37,9:57,Danielle Colaprico,CHI,tackle,1st half,1,42.5,23.7
20200722-NJ-CHI-62,20200722-NJ-CHI-418,9:37,9:57,Vanessa Sue Di Bernardo,CHI,recovery,1st half,null,41.3,20.8
20200722-NJ-CHI-63,20200722-NJ-CHI-424,9:39,9:59,Erica Skroski,NJ,challenge,1st half,1,49.2,52.4
