ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20180915-RGN-POR-57,1:03,1:23,Emily Ann Sonnett,POR,Positional attacks,1st half,13.6,4.8
20180915-RGN-POR-58,1:03,1:23,Emily Ann Sonnett,POR,Interceptions,1st half,13.6,4.8
20180915-RGN-POR-59,1:03,1:23,Emily Ann Sonnett,POR,Positional attacks,1st half,13.6,4.8
20180915-RGN-POR-60,1:10,1:30,Megan Anna Rapinoe,RGN,Positional attacks,1st half,91.6,68.0
20180915-RGN-POR-61,1:10,1:30,Megan Anna Rapinoe,RGN,Passes accurate,1st half,91.6,68.0
20180915-RGN-POR-62,1:12,1:32,Stephanie-Elise Catley,RGN,Positional attacks,1st half,80.4,65.1
20180915-RGN-POR-63,1:13,1:33,Stephanie-Elise Catley,RGN,Positional attacks,1st half,81.7,63.5
20180915-RGN-POR-64,1:13,1:33,Stephanie-Elise Catley,RGN,Passes (inaccurate),1st half,81.7,63.5
20180915-RGN-POR-65,1:13,1:33,Stephanie-Elise Catley,RGN,Passes into the penalty box,1st half,81.7,63.5
20180915-RGN-POR-66,1:13,1:33,Stephanie-Elise Catley,RGN,Positional attacks,1st half,81.7,63.5
20180915-RGN-POR-67,1:13,1:33,Stephanie-Elise Catley,RGN,Crosses (inaccurate),1st half,81.7,63.5
20180915-RGN-POR-68,1:14,1:34,Lindsey Michelle Horan,POR,Positional attacks,1st half,13.4,22.3
20180915-RGN-POR-69,1:14,1:34,Lindsey Michelle Horan,POR,Interceptions,1st half,13.4,22.3
20180915-RGN-POR-70,1:14,1:34,Lindsey Michelle Horan,POR,Passes (inaccurate),1st half,13.4,22.3
20180915-RGN-POR-71,1:14,1:34,Lindsey Michelle Horan,POR,Positional attacks,1st half,13.4,22.3
20180915-RGN-POR-72,1:16,1:36,Megan Anna Rapinoe,RGN,Interceptions,1st half,86.5,62.5
20180915-RGN-POR-73,1:16,1:36,Megan Anna Rapinoe,RGN,Positional attacks,1st half,86.5,62.5
20180915-RGN-POR-74,1:16,1:36,Megan Anna Rapinoe,RGN,Interceptions (in opp. half),1st half,86.5,62.5
20180915-RGN-POR-75,1:18,1:38,Megan Anna Rapinoe,RGN,Positional attacks,1st half,85.3,56.3
20180915-RGN-POR-76,1:18,1:38,Megan Anna Rapinoe,RGN,Passes accurate,1st half,85.3,56.3
20180915-RGN-POR-77,1:19,1:39,Jessica Anne Fishlock,RGN,Positional attacks,1st half,82.7,40.5
20180915-RGN-POR-78,1:20,1:40,Tobin Powell Powell Heath,POR,Positional attacks,1st half,21.0,27.5
20180915-RGN-POR-79,1:20,1:40,Tobin Powell Powell Heath,POR,Fouls,1st half,21.0,27.5
20180915-RGN-POR-80,2:04,2:24,Tobin Powell Powell Heath,POR,Lost balls,1st half,11.6,30.9
20180915-RGN-POR-81,2:04,2:24,Megan Anna Rapinoe,RGN,Shots,1st half,82.9,43.8
20180915-RGN-POR-82,2:04,2:24,Tobin Powell Powell Heath,POR,Lost balls (in opp. half),1st half,11.6,30.9
20180915-RGN-POR-83,2:04,2:24,Megan Anna Rapinoe,RGN,Free-kick attacks,1st half,82.9,43.8
20180915-RGN-POR-84,2:04,2:24,Tobin Powell Powell Heath,POR,Interceptions,1st half,11.6,30.9
20180915-RGN-POR-85,2:06,2:26,Rumi Utsugi,RGN,Picking-ups,1st half,79.6,36.6
20180915-RGN-POR-86,2:06,2:26,Rumi Utsugi,RGN,Passes accurate,1st half,79.6,36.6
20180915-RGN-POR-87,2:06,2:26,Rumi Utsugi,RGN,Picking-ups (in opp. half),1st half,79.6,36.6
20180915-RGN-POR-88,2:06,2:26,Rumi Utsugi,RGN,Passes into the penalty box,1st half,79.6,36.6
20180915-RGN-POR-89,2:06,2:26,Rumi Utsugi,RGN,Counter-attacks,1st half,79.6,36.6
20180915-RGN-POR-90,2:07,2:27,Stephanie-Elise Catley,RGN,Counter-attacks,1st half,89.9,48.4
20180915-RGN-POR-91,2:07,2:27,Stephanie-Elise Catley,RGN,Passes (inaccurate),1st half,89.9,48.4
20180915-RGN-POR-92,2:07,2:27,Stephanie-Elise Catley,RGN,Passes into the penalty box,1st half,89.9,48.4
20180915-RGN-POR-93,2:07,2:27,Margaret Purce,POR,Interceptions,1st half,13.9,23.7
20180915-RGN-POR-94,2:07,2:27,Margaret Purce,POR,Counter-attacks,1st half,13.9,23.7
20180915-RGN-POR-95,2:08,2:28,Caitlin Jade Foord,POR,Picking-ups,1st half,18.7,19.9
20180915-RGN-POR-96,2:08,2:28,Caitlin Jade Foord,POR,Positional attacks,1st half,18.7,19.9
20180915-RGN-POR-97,2:08,2:28,Caitlin Jade Foord,POR,Positional attacks,1st half,18.7,19.9
20180915-RGN-POR-98,2:11,2:31,Lauren Kate Barnes,RGN,Positional attacks,1st half,54.8,48.4
20180915-RGN-POR-99,2:11,2:31,Lauren Kate Barnes,RGN,Picking-ups,1st half,54.8,48.4
20180915-RGN-POR-100,2:11,2:31,Lauren Kate Barnes,RGN,Picking-ups (in opp. half),1st half,54.8,48.4
20180915-RGN-POR-101,2:12,2:32,Lauren Kate Barnes,RGN,Positional attacks,1st half,56.7,51.7
20180915-RGN-POR-102,2:12,2:32,Lauren Kate Barnes,RGN,Passes accurate,1st half,56.7,51.7
20180915-RGN-POR-103,2:15,2:35,Megan Anna Rapinoe,RGN,Positional attacks,1st half,95.6,55.5
20180915-RGN-POR-104,2:15,2:35,Megan Anna Rapinoe,RGN,Bad ball control,1st half,95.6,55.5
20180915-RGN-POR-105,2:48,3:08,Adrianna Nichole Franch,POR,Passes (inaccurate),1st half,5.2,39.3
20180915-RGN-POR-106,2:48,3:08,Adrianna Nichole Franch,POR,Positional attacks,1st half,5.2,39.3
20180915-RGN-POR-107,2:48,3:08,Adrianna Nichole Franch,POR,Goal kicks,1st half,5.2,39.3
20180915-RGN-POR-108,2:51,3:11,Rumi Utsugi,RGN,Interceptions,1st half,47.0,11.5
