ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20180915-RGN-POR-46,20180915-RGN-POR-322,7:55,8:15,Caitlin Jade Foord,POR,foul,1st half,null,77.1,4.5
20180915-RGN-POR-47,20180915-RGN-POR-352,8:48,9:08,Megan Anna Rapinoe,RGN,foul,1st half,null,75.2,65.8
20180915-RGN-POR-48,20180915-RGN-POR-379,9:41,10:01,Tobin Powell Powell Heath,POR,challenge,1st half,0,71.4,23.0
20180915-RGN-POR-49,20180915-RGN-POR-380,9:41,10:01,Megan Leigh Oyster,RGN,challenge,1st half,1,33.6,45.0
20180915-RGN-POR-50,20180915-RGN-POR-386,9:48,10:08,Jasmyne Spencer,RGN,dribble,1st half,1,48.3,21.3
20180915-RGN-POR-51,20180915-RGN-POR-389,9:53,10:13,Jasmyne Spencer,RGN,challenge,1st half,0,67.0,33.5
20180915-RGN-POR-52,20180915-RGN-POR-390,9:53,10:13,Celeste Anais Boureille,POR,challenge,1st half,1,38.0,34.5
20180915-RGN-POR-53,20180915-RGN-POR-391,9:53,10:13,Celeste Anais Boureille,POR,tackle,1st half,1,38.0,34.5
20180915-RGN-POR-54,20180915-RGN-POR-393,9:54,10:14,Christine Margaret Sinclair,POR,recovery,1st half,null,41.8,34.5
20180915-RGN-POR-55,20180915-RGN-POR-398,9:57,10:17,Caitlin Jade Foord,POR,dribble,1st half,1,46.0,49.3
20180915-RGN-POR-56,20180915-RGN-POR-405,10:03,10:23,Megan Leigh Oyster,RGN,recovery,1st half,null,15.5,22.3
20180915-RGN-POR-57,20180915-RGN-POR-409,10:06,10:26,Theresa Eslund,RGN,challenge,1st half,1,26.2,5.5
20180915-RGN-POR-58,20180915-RGN-POR-411,10:06,10:26,Meghan Elizabeth Klingenberg,POR,challenge,1st half,0,78.8,62.5
20180915-RGN-POR-59,20180915-RGN-POR-415,10:11,10:31,Jasmyne Spencer,RGN,take_on,1st half,1,45.4,5.5
20180915-RGN-POR-60,20180915-RGN-POR-416,10:11,10:31,Celeste Anais Boureille,POR,challenge,1st half,0,59.6,62.5
20180915-RGN-POR-61,20180915-RGN-POR-417,10:11,10:31,Celeste Anais Boureille,POR,tackle,1st half,0,59.6,62.5
20180915-RGN-POR-62,20180915-RGN-POR-418,10:12,10:32,Celeste Anais Boureille,POR,foul,1st half,null,58.8,62.7
20180915-RGN-POR-63,20180915-RGN-POR-427,10:39,10:59,Jasmyne Spencer,RGN,challenge,1st half,0,81.5,5.7
20180915-RGN-POR-64,20180915-RGN-POR-428,10:39,10:59,Meghan Elizabeth Klingenberg,POR,challenge,1st half,1,23.5,62.3
20180915-RGN-POR-65,20180915-RGN-POR-429,10:41,11:01,Meghan Elizabeth Klingenberg,POR,dribble,1st half,1,27.5,63.0
20180915-RGN-POR-66,20180915-RGN-POR-432,10:45,11:05,Megan Leigh Oyster,RGN,recovery,1st half,null,46.6,5.0
20180915-RGN-POR-67,20180915-RGN-POR-449,11:07,11:27,Lindsey Michelle Horan,POR,challenge,1st half,1,8.0,52.9
20180915-RGN-POR-68,20180915-RGN-POR-451,11:07,11:27,Jasmyne Spencer,RGN,challenge,1st half,0,97.0,15.1
20180915-RGN-POR-69,20180915-RGN-POR-459,11:52,12:12,Rumi Utsugi,RGN,recovery,1st half,null,86.9,35.9
20180915-RGN-POR-70,20180915-RGN-POR-466,11:56,12:16,Lauren Kate Barnes,RGN,recovery,1st half,null,57.8,33.3
20180915-RGN-POR-71,20180915-RGN-POR-472,12:01,12:21,Jessica Anne Fishlock,RGN,take_on,1st half,0,97.0,1.9
20180915-RGN-POR-72,20180915-RGN-POR-473,12:01,12:21,Jessica Anne Fishlock,RGN,challenge,1st half,0,97.0,1.9
20180915-RGN-POR-73,20180915-RGN-POR-474,12:01,12:21,Meghan Elizabeth Klingenberg,POR,challenge,1st half,1,8.0,66.1
20180915-RGN-POR-74,20180915-RGN-POR-475,12:01,12:21,Meghan Elizabeth Klingenberg,POR,tackle,1st half,1,8.0,66.1
20180915-RGN-POR-75,20180915-RGN-POR-483,12:13,12:33,Megan Leigh Oyster,RGN,recovery,1st half,null,74.6,1.0
20180915-RGN-POR-76,20180915-RGN-POR-487,12:17,12:37,Alexandra Linsley Long Batista,RGN,challenge,1st half,0,88.6,0.7
20180915-RGN-POR-77,20180915-RGN-POR-489,12:17,12:37,Lindsey Michelle Horan,POR,challenge,1st half,1,16.4,67.3
20180915-RGN-POR-78,20180915-RGN-POR-491,12:17,12:37,Lindsey Michelle Horan,POR,tackle,1st half,1,16.4,67.3
20180915-RGN-POR-79,20180915-RGN-POR-492,12:17,12:37,Alexandra Linsley Long Batista,RGN,take_on,1st half,0,88.6,0.7
20180915-RGN-POR-80,20180915-RGN-POR-493,12:19,12:39,Alexandra Linsley Long Batista,RGN,foul,1st half,null,86.7,2.4
20180915-RGN-POR-81,20180915-RGN-POR-506,13:08,13:28,Emily Ann Sonnett,POR,recovery,1st half,null,35.1,51.0
20180915-RGN-POR-82,20180915-RGN-POR-512,13:15,13:35,Stephanie-Elise Catley,RGN,recovery,1st half,null,47.0,53.4
20180915-RGN-POR-83,20180915-RGN-POR-521,13:38,13:58,Christine Margaret Sinclair,POR,challenge,1st half,0,54.4,6.9
20180915-RGN-POR-84,20180915-RGN-POR-522,13:38,13:58,Rumi Utsugi,RGN,challenge,1st half,1,50.6,61.1
20180915-RGN-POR-85,20180915-RGN-POR-526,13:40,14:00,Lindsey Michelle Horan,POR,recovery,1st half,null,49.8,11.7
20180915-RGN-POR-86,20180915-RGN-POR-529,13:41,14:01,Stephanie-Elise Catley,RGN,recovery,1st half,null,42.6,60.3
20180915-RGN-POR-87,20180915-RGN-POR-551,13:59,14:19,Adrianna Nichole Franch,POR,recovery,1st half,null,5.7,35.9
20180915-RGN-POR-88,20180915-RGN-POR-554,14:03,14:23,Lindsey Michelle Horan,POR,take_on,1st half,1,26.5,51.5
20180915-RGN-POR-89,20180915-RGN-POR-555,14:03,14:23,Jessica Anne Fishlock,RGN,tackle,1st half,0,78.5,16.5
20180915-RGN-POR-90,20180915-RGN-POR-556,14:03,14:23,Jessica Anne Fishlock,RGN,challenge,1st half,0,78.5,16.5
20180915-RGN-POR-91,20180915-RGN-POR-557,14:03,14:23,Jessica Anne Fishlock,RGN,foul,1st half,null,78.8,16.8
20180915-RGN-POR-92,20180915-RGN-POR-566,14:44,15:04,Jessica Anne Fishlock,RGN,challenge,1st half,0,39.1,17.5
20180915-RGN-POR-93,20180915-RGN-POR-571,14:44,15:04,Celeste Anais Boureille,POR,challenge,1st half,1,65.9,50.5
20180915-RGN-POR-94,20180915-RGN-POR-573,14:46,15:06,Theresa Eslund,RGN,recovery,1st half,null,30.7,16.8
20180915-RGN-POR-95,20180915-RGN-POR-576,14:49,15:09,Emily Townsend Menges,POR,challenge,1st half,1,32.5,55.1
20180915-RGN-POR-96,20180915-RGN-POR-577,14:49,15:09,Jodie Lee Taylor,RGN,challenge,1st half,0,72.5,12.9
20180915-RGN-POR-97,20180915-RGN-POR-585,14:54,15:14,Megan Anna Rapinoe,RGN,recovery,1st half,null,83.4,39.0
20180915-RGN-POR-98,20180915-RGN-POR-600,15:09,15:29,Christine Margaret Sinclair,POR,recovery,1st half,null,31.9,19.6
20180915-RGN-POR-99,20180915-RGN-POR-601,15:09,15:29,Christine Margaret Sinclair,POR,dribble,1st half,1,31.5,19.6
20180915-RGN-POR-100,20180915-RGN-POR-605,15:18,15:38,Megan Leigh Oyster,RGN,recovery,1st half,null,11.6,57.7
20180915-RGN-POR-101,20180915-RGN-POR-612,15:52,16:12,Lauren Kate Barnes,RGN,challenge,1st half,0,6.9,45.0
20180915-RGN-POR-102,20180915-RGN-POR-613,15:52,16:12,Margaret Purce,POR,challenge,1st half,1,98.1,23.0
20180915-RGN-POR-103,20180915-RGN-POR-630,16:28,16:48,Celeste Anais Boureille,POR,challenge,1st half,0,101.0,25.9
20180915-RGN-POR-104,20180915-RGN-POR-631,16:28,16:48,Jodie Lee Taylor,RGN,challenge,1st half,1,4.0,42.1
20180915-RGN-POR-105,20180915-RGN-POR-644,16:55,17:15,Lydia Grace Yilkari Williams,RGN,save,1st half,null,5.5,41.2
20180915-RGN-POR-106,20180915-RGN-POR-647,16:55,17:15,Caitlin Jade Foord,POR,recovery,1st half,null,99.5,26.8
20180915-RGN-POR-107,20180915-RGN-POR-657,16:57,17:17,Lydia Grace Yilkari Williams,RGN,save,1st half,null,6.7,38.8
20180915-RGN-POR-108,20180915-RGN-POR-662,16:57,17:17,Margaret Purce,POR,recovery,1st half,null,98.3,29.2
20180915-RGN-POR-109,20180915-RGN-POR-666,16:59,17:19,Tobin Powell Powell Heath,POR,recovery,1st half,null,91.6,31.8
20180915-RGN-POR-110,20180915-RGN-POR-675,17:02,17:22,Margaret Purce,POR,challenge,1st half,0,100.6,34.7
20180915-RGN-POR-111,20180915-RGN-POR-676,17:02,17:22,Lauren Kate Barnes,RGN,challenge,1st half,1,4.4,33.3
20180915-RGN-POR-112,20180915-RGN-POR-680,17:04,17:24,Rumi Utsugi,RGN,recovery,1st half,null,7.6,30.4
20180915-RGN-POR-113,20180915-RGN-POR-682,17:06,17:26,Jessica Anne Fishlock,RGN,challenge,1st half,0,8.8,16.3
20180915-RGN-POR-114,20180915-RGN-POR-683,17:06,17:26,Tobin Powell Powell Heath,POR,challenge,1st half,1,96.2,51.7
20180915-RGN-POR-115,20180915-RGN-POR-685,17:06,17:26,Tobin Powell Powell Heath,POR,tackle,1st half,1,96.2,51.7
20180915-RGN-POR-116,20180915-RGN-POR-686,17:06,17:26,Tobin Powell Powell Heath,POR,dribble,1st half,1,96.2,51.7
20180915-RGN-POR-117,20180915-RGN-POR-688,17:14,17:34,Theresa Eslund,RGN,challenge,1st half,1,0.8,2.9
20180915-RGN-POR-118,20180915-RGN-POR-690,17:14,17:34,Tobin Powell Powell Heath,POR,take_on,1st half,0,104.2,65.1
20180915-RGN-POR-119,20180915-RGN-POR-691,17:14,17:34,Theresa Eslund,RGN,tackle,1st half,1,0.8,2.9
20180915-RGN-POR-120,20180915-RGN-POR-692,17:14,17:34,Tobin Powell Powell Heath,POR,challenge,1st half,0,104.2,65.1
20180915-RGN-POR-121,20180915-RGN-POR-701,17:42,18:02,Jasmyne Spencer,RGN,recovery,1st half,null,18.1,21.8
20180915-RGN-POR-122,20180915-RGN-POR-702,17:42,18:02,Jasmyne Spencer,RGN,challenge,1st half,0,18.1,21.8
20180915-RGN-POR-123,20180915-RGN-POR-703,17:42,18:02,Meghan Elizabeth Klingenberg,POR,challenge,1st half,1,86.9,46.2
20180915-RGN-POR-124,20180915-RGN-POR-704,17:42,18:02,Jasmyne Spencer,RGN,take_on,1st half,0,18.1,21.8
20180915-RGN-POR-125,20180915-RGN-POR-705,17:42,18:02,Meghan Elizabeth Klingenberg,POR,tackle,1st half,1,86.9,46.2
20180915-RGN-POR-126,20180915-RGN-POR-711,17:49,18:09,Tobin Powell Powell Heath,POR,dribble,1st half,1,73.1,67.3
20180915-RGN-POR-127,20180915-RGN-POR-716,17:57,18:17,Celeste Anais Boureille,POR,dribble,1st half,1,92.2,59.9
20180915-RGN-POR-128,20180915-RGN-POR-727,18:32,18:52,Lindsey Michelle Horan,POR,recovery,1st half,null,88.8,18.9
20180915-RGN-POR-129,20180915-RGN-POR-729,18:35,18:55,Lindsey Michelle Horan,POR,challenge,1st half,0,86.9,17.2
20180915-RGN-POR-130,20180915-RGN-POR-730,18:35,18:55,Megan Leigh Oyster,RGN,tackle,1st half,1,18.1,50.8
20180915-RGN-POR-131,20180915-RGN-POR-731,18:35,18:55,Megan Leigh Oyster,RGN,challenge,1st half,1,18.1,50.8
20180915-RGN-POR-132,20180915-RGN-POR-739,18:56,19:16,Lindsey Michelle Horan,POR,challenge,1st half,1,100.6,21.5
20180915-RGN-POR-133,20180915-RGN-POR-741,18:56,19:16,Stephanie-Elise Catley,RGN,challenge,1st half,0,4.4,46.5
20180915-RGN-POR-134,20180915-RGN-POR-745,18:58,19:18,Megan Anna Rapinoe,RGN,recovery,1st half,null,13.0,50.3
20180915-RGN-POR-135,20180915-RGN-POR-750,19:00,19:20,Rumi Utsugi,RGN,challenge,1st half,1,14.1,43.1
20180915-RGN-POR-136,20180915-RGN-POR-751,19:00,19:20,Christine Margaret Sinclair,POR,challenge,1st half,0,90.9,24.9
20180915-RGN-POR-137,20180915-RGN-POR-755,19:02,19:22,Megan Leigh Oyster,RGN,recovery,1st half,null,14.9,31.4
20180915-RGN-POR-138,20180915-RGN-POR-762,19:05,19:25,Emily Townsend Menges,POR,recovery,1st half,null,55.0,38.5
20180915-RGN-POR-139,20180915-RGN-POR-763,19:06,19:26,Jasmyne Spencer,RGN,recovery,1st half,null,34.0,21.8
20180915-RGN-POR-140,20180915-RGN-POR-765,19:06,19:26,Jasmyne Spencer,RGN,dribble,1st half,1,34.0,21.8
20180915-RGN-POR-141,20180915-RGN-POR-773,19:15,19:35,Stephanie-Elise Catley,RGN,dribble,1st half,1,60.5,57.5
20180915-RGN-POR-142,20180915-RGN-POR-779,19:20,19:40,Stephanie-Elise Catley,RGN,dribble,1st half,1,87.8,59.9
20180915-RGN-POR-143,20180915-RGN-POR-786,19:27,19:47,Meghan Elizabeth Klingenberg,POR,recovery,1st half,null,6.1,40.7
20180915-RGN-POR-144,20180915-RGN-POR-789,19:30,19:50,Alexandra Linsley Long Batista,RGN,recovery,1st half,null,69.5,11.5
20180915-RGN-POR-145,20180915-RGN-POR-798,19:35,19:55,Jessica Anne Fishlock,RGN,challenge,1st half,1,92.2,40.5
20180915-RGN-POR-146,20180915-RGN-POR-800,19:35,19:55,Emily Ann Sonnett,POR,challenge,1st half,0,12.8,27.5
20180915-RGN-POR-147,20180915-RGN-POR-810,19:41,20:01,Margaret Purce,POR,recovery,1st half,null,26.5,3.4
20180915-RGN-POR-148,20180915-RGN-POR-843,20:48,21:08,Megan Anna Rapinoe,RGN,challenge,1st half,0,79.0,61.5
20180915-RGN-POR-149,20180915-RGN-POR-844,20:48,21:08,Ellie Madison Carpenter,POR,tackle,1st half,1,26.0,6.5
20180915-RGN-POR-150,20180915-RGN-POR-845,20:48,21:08,Ellie Madison Carpenter,POR,challenge,1st half,1,26.0,6.5
20180915-RGN-POR-151,20180915-RGN-POR-878,21:43,22:03,Alexandra Linsley Long Batista,RGN,recovery,1st half,null,80.0,33.3
20180915-RGN-POR-152,20180915-RGN-POR-880,21:43,22:03,Tobin Powell Powell Heath,POR,tackle,1st half,1,20.6,34.5
20180915-RGN-POR-153,20180915-RGN-POR-882,21:43,22:03,Alexandra Linsley Long Batista,RGN,challenge,1st half,0,84.4,33.5
20180915-RGN-POR-154,20180915-RGN-POR-883,21:43,22:03,Tobin Powell Powell Heath,POR,challenge,1st half,1,20.6,34.5
20180915-RGN-POR-155,20180915-RGN-POR-887,21:46,22:06,Celeste Anais Boureille,POR,recovery,1st half,null,19.7,22.0
20180915-RGN-POR-156,20180915-RGN-POR-888,21:47,22:07,Margaret Purce,POR,challenge,1st half,0,27.5,6.5
20180915-RGN-POR-157,20180915-RGN-POR-890,21:47,22:07,Stephanie-Elise Catley,RGN,challenge,1st half,1,77.5,61.5
20180915-RGN-POR-158,20180915-RGN-POR-891,21:47,22:07,Stephanie-Elise Catley,RGN,tackle,1st half,1,77.5,61.5
20180915-RGN-POR-159,20180915-RGN-POR-892,21:47,22:07,Margaret Purce,POR,take_on,1st half,0,27.5,6.5
20180915-RGN-POR-160,20180915-RGN-POR-893,21:51,22:11,Stephanie-Elise Catley,RGN,recovery,1st half,null,98.1,67.0
20180915-RGN-POR-161,20180915-RGN-POR-898,21:53,22:13,Stephanie-Elise Catley,RGN,challenge,1st half,0,96.6,62.5
20180915-RGN-POR-162,20180915-RGN-POR-899,21:53,22:13,Ellie Madison Carpenter,POR,challenge,1st half,1,8.4,5.5
20180915-RGN-POR-163,20180915-RGN-POR-900,21:53,22:13,Stephanie-Elise Catley,RGN,take_on,1st half,0,96.6,62.5
20180915-RGN-POR-164,20180915-RGN-POR-901,21:53,22:13,Ellie Madison Carpenter,POR,tackle,1st half,1,8.4,5.5
20180915-RGN-POR-165,20180915-RGN-POR-903,21:54,22:14,Celeste Anais Boureille,POR,recovery,1st half,null,10.9,12.5
