,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
80,494,12:19,12:39,135,OL Reign,foul,1st half,86.7,2.4,null
81,507,13:08,13:28,217,Portland Thorns,recovery,1st half,35.1,51.0,null
82,513,13:15,13:35,31,OL Reign,recovery,1st half,47.0,53.4,null
83,522,13:38,13:58,213,Portland Thorns,challenge,1st half,54.4,6.9,0
84,523,13:38,13:58,233,OL Reign,challenge,1st half,50.6,61.1,1
85,527,13:40,14:00,94,Portland Thorns,recovery,1st half,49.8,11.7,null
86,530,13:41,14:01,31,OL Reign,recovery,1st half,42.6,60.3,null
87,552,13:59,14:19,75,Portland Thorns,recovery,1st half,5.7,35.9,null
88,555,14:03,14:23,94,Portland Thorns,take_on,1st half,26.5,51.5,1
89,556,14:03,14:23,72,OL Reign,tackle,1st half,78.5,16.5,0
90,557,14:03,14:23,72,OL Reign,challenge,1st half,78.5,16.5,0
91,558,14:03,14:23,72,OL Reign,foul,1st half,78.8,16.8,null
92,567,14:44,15:04,72,OL Reign,challenge,1st half,39.1,17.5,0
93,572,14:44,15:04,16,Portland Thorns,challenge,1st half,65.9,50.5,1
94,574,14:46,15:06,166,OL Reign,recovery,1st half,30.7,16.8,null
95,577,14:49,15:09,150,Portland Thorns,challenge,1st half,32.5,55.1,1
96,578,14:49,15:09,228,OL Reign,challenge,1st half,72.5,12.9,0
97,586,14:54,15:14,192,OL Reign,recovery,1st half,83.4,39.0,null
98,601,15:09,15:29,213,Portland Thorns,recovery,1st half,31.9,19.6,null
99,602,15:09,15:29,213,Portland Thorns,dribble,1st half,31.5,19.6,1
100,606,15:18,15:38,172,OL Reign,recovery,1st half,11.6,57.7,null
101,613,15:52,16:12,8,OL Reign,challenge,1st half,6.9,45.0,0
102,614,15:52,16:12,190,Portland Thorns,challenge,1st half,98.1,23.0,1
103,631,16:28,16:48,16,Portland Thorns,challenge,1st half,101.0,25.9,0
104,632,16:28,16:48,228,OL Reign,challenge,1st half,4.0,42.1,1
105,645,16:55,17:15,243,OL Reign,save,1st half,5.5,41.2,null
106,648,16:55,17:15,74,Portland Thorns,recovery,1st half,99.5,26.8,null
107,658,16:57,17:17,243,OL Reign,save,1st half,6.7,38.8,null
108,663,16:57,17:17,190,Portland Thorns,recovery,1st half,98.3,29.2,null
109,667,16:59,17:19,89,Portland Thorns,recovery,1st half,91.6,31.8,null
110,676,17:02,17:22,190,Portland Thorns,challenge,1st half,100.6,34.7,0
111,677,17:02,17:22,8,OL Reign,challenge,1st half,4.4,33.3,1
112,681,17:04,17:24,233,OL Reign,recovery,1st half,7.6,30.4,null
113,683,17:06,17:26,72,OL Reign,challenge,1st half,8.8,16.3,0
114,684,17:06,17:26,89,Portland Thorns,challenge,1st half,96.2,51.7,1
115,686,17:06,17:26,89,Portland Thorns,tackle,1st half,96.2,51.7,1
116,687,17:06,17:26,89,Portland Thorns,dribble,1st half,96.2,51.7,1
117,689,17:14,17:34,166,OL Reign,challenge,1st half,0.8,2.9,1
118,691,17:14,17:34,89,Portland Thorns,Dribbles (Unsuccessful actions),1st half,104.2,65.1,null
119,692,17:14,17:34,166,OL Reign,tackle,1st half,0.8,2.9,1
120,693,17:14,17:34,89,Portland Thorns,challenge,1st half,104.2,65.1,0
121,702,17:42,18:02,219,OL Reign,recovery,1st half,18.1,21.8,null
122,703,17:42,18:02,219,OL Reign,challenge,1st half,18.1,21.8,0
123,704,17:42,18:02,121,Portland Thorns,challenge,1st half,86.9,46.2,1
124,705,17:42,18:02,219,OL Reign,Dribbles (Unsuccessful actions),1st half,18.1,21.8,null
125,706,17:42,18:02,121,Portland Thorns,tackle,1st half,86.9,46.2,1
126,712,17:49,18:09,89,Portland Thorns,dribble,1st half,73.1,67.3,1
127,717,17:57,18:17,16,Portland Thorns,dribble,1st half,92.2,59.9,1
128,728,18:32,18:52,94,Portland Thorns,recovery,1st half,88.8,18.9,null
129,730,18:35,18:55,94,Portland Thorns,challenge,1st half,86.9,17.2,0
130,731,18:35,18:55,172,OL Reign,tackle,1st half,18.1,50.8,1
131,732,18:35,18:55,172,OL Reign,challenge,1st half,18.1,50.8,1
132,740,18:56,19:16,94,Portland Thorns,challenge,1st half,100.6,21.5,1
133,742,18:56,19:16,31,OL Reign,challenge,1st half,4.4,46.5,0
134,746,18:58,19:18,192,OL Reign,recovery,1st half,13.0,50.3,null
135,751,19:00,19:20,233,OL Reign,challenge,1st half,14.1,43.1,1
136,752,19:00,19:20,213,Portland Thorns,challenge,1st half,90.9,24.9,0
137,756,19:02,19:22,172,OL Reign,recovery,1st half,14.9,31.4,null
138,763,19:05,19:25,150,Portland Thorns,recovery,1st half,55.0,38.5,null
139,764,19:06,19:26,219,OL Reign,recovery,1st half,34.0,21.8,null
140,766,19:06,19:26,219,OL Reign,dribble,1st half,34.0,21.8,1
141,774,19:15,19:35,31,OL Reign,dribble,1st half,60.5,57.5,1
142,780,19:20,19:40,31,OL Reign,dribble,1st half,87.8,59.9,1
143,787,19:27,19:47,121,Portland Thorns,recovery,1st half,6.1,40.7,null
144,790,19:30,19:50,135,OL Reign,recovery,1st half,69.5,11.5,null
145,799,19:35,19:55,72,OL Reign,challenge,1st half,92.2,40.5,1
146,801,19:35,19:55,217,Portland Thorns,challenge,1st half,12.8,27.5,0
147,811,19:41,20:01,190,Portland Thorns,recovery,1st half,26.5,3.4,null
148,844,20:48,21:08,192,OL Reign,challenge,1st half,79.0,61.5,0
149,845,20:48,21:08,30,Portland Thorns,tackle,1st half,26.0,6.5,1
150,846,20:48,21:08,30,Portland Thorns,challenge,1st half,26.0,6.5,1
151,879,21:43,22:03,135,OL Reign,recovery,1st half,80.0,33.3,null
152,881,21:43,22:03,89,Portland Thorns,tackle,1st half,20.6,34.5,1
153,883,21:43,22:03,135,OL Reign,challenge,1st half,84.4,33.5,0
154,884,21:43,22:03,89,Portland Thorns,challenge,1st half,20.6,34.5,1
155,888,21:46,22:06,16,Portland Thorns,recovery,1st half,19.7,22.0,null
156,889,21:47,22:07,190,Portland Thorns,challenge,1st half,27.5,6.5,0
157,891,21:47,22:07,31,OL Reign,challenge,1st half,77.5,61.5,1
158,892,21:47,22:07,31,OL Reign,tackle,1st half,77.5,61.5,1
