,raw_event_ID,start_time,end_time,player_ID,team,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross,cross_blocked
61,300,7:16,7:36,16,Portland Thorns,1st half,79.8,45.7,0,233.0,84.2,46.2,0,0
62,305,7:25,7:45,121,Portland Thorns,1st half,86.1,68.0,1,213.0,93.4,59.1,0,0
63,308,7:28,7:48,213,Portland Thorns,1st half,90.7,62.3,1,94.0,83.6,57.7,0,0
64,311,7:32,7:52,94,Portland Thorns,1st half,84.2,57.0,1,213.0,91.8,52.0,0,0
65,325,8:26,8:46,8,OL Reign,1st half,27.9,61.3,1,233.0,39.3,57.0,0,0
66,326,8:27,8:47,233,OL Reign,1st half,39.3,57.0,1,8.0,29.2,63.5,0,0
67,335,8:29,8:49,8,OL Reign,1st half,28.8,63.7,1,233.0,37.6,53.2,0,0
68,337,8:32,8:52,233,OL Reign,1st half,33.2,56.0,1,8.0,24.4,57.5,0,0
69,341,8:34,8:54,8,OL Reign,1st half,22.7,55.5,1,243.0,9.4,40.5,0,0
70,343,8:40,9:00,243,OL Reign,1st half,14.7,36.9,1,31.0,48.3,63.0,0,0
71,347,8:45,9:05,31,OL Reign,1st half,54.2,62.0,1,233.0,47.2,58.2,0,0
72,349,8:46,9:06,233,OL Reign,1st half,47.2,58.2,1,192.0,75.8,66.3,0,0
73,354,9:05,9:25,30,Portland Thorns,1st half,36.5,2.4,1,217.0,31.9,11.3,0,0
74,355,9:08,9:28,217,Portland Thorns,1st half,31.9,11.3,1,94.0,35.5,23.9,0,0
75,356,9:09,9:29,94,Portland Thorns,1st half,35.5,23.9,1,150.0,20.8,29.0,0,0
76,357,9:11,9:31,150,Portland Thorns,1st half,20.8,29.0,0,31.0,49.8,0.0,0,0
77,358,9:28,9:48,31,OL Reign,1st half,55.2,68.0,1,192.0,63.6,64.2,0,0
78,360,9:29,9:49,192,OL Reign,1st half,63.6,64.2,1,31.0,58.4,62.0,0,0
79,363,9:31,9:51,31,OL Reign,1st half,60.1,60.6,1,233.0,55.2,58.4,0,0
80,366,9:34,9:54,233,OL Reign,1st half,56.9,63.9,0,16.0,66.2,58.4,0,0
81,371,9:36,9:56,16,Portland Thorns,1st half,44.5,10.1,1,74.0,59.6,13.9,0,0
82,373,9:37,9:57,74,Portland Thorns,1st half,59.6,13.9,1,213.0,56.1,7.2,0,0
83,376,9:40,10:00,213,Portland Thorns,1st half,54.2,10.3,1,89.0,71.4,23.0,0,0
84,383,9:43,10:03,172,OL Reign,1st half,36.1,45.3,1,135.0,39.3,44.3,0,0
85,385,9:47,10:07,135,OL Reign,1st half,46.2,34.5,1,219.0,48.3,21.3,0,0
86,396,9:55,10:15,213,Portland Thorns,1st half,39.7,40.0,1,74.0,46.0,49.3,0,0
87,401,10:01,10:21,74,Portland Thorns,1st half,78.5,45.5,0,233.0,79.8,44.8,0,0
88,408,10:05,10:25,172,OL Reign,1st half,13.7,17.2,1,166.0,26.2,5.5,0,0
89,413,10:10,10:30,166,OL Reign,1st half,26.5,1.9,1,219.0,45.4,5.5,0,0
90,422,10:35,10:55,172,OL Reign,1st half,46.6,6.0,1,72.0,69.3,10.8,0,0
91,425,10:38,10:58,72,OL Reign,1st half,75.4,8.6,1,219.0,81.5,5.7,0,0
92,432,10:43,11:03,121,Portland Thorns,1st half,38.2,66.1,0,172.0,58.4,63.0,0,0
93,435,10:48,11:08,172,OL Reign,1st half,52.5,2.2,1,8.0,35.1,14.6,0,0
94,437,10:51,11:11,8,OL Reign,1st half,35.9,18.4,1,135.0,40.9,27.3,0,0
95,441,10:56,11:16,135,OL Reign,1st half,44.9,38.8,1,8.0,37.4,29.9,0,0
96,443,10:58,11:18,8,OL Reign,1st half,37.4,29.9,1,135.0,47.7,30.6,0,0
97,446,11:00,11:20,135,OL Reign,1st half,48.9,28.5,1,166.0,85.5,1.7,0,0
98,449,11:04,11:24,166,OL Reign,1st half,85.5,1.7,1,219.0,97.0,15.1,0,0
99,454,11:46,12:06,31,OL Reign,1st half,105.0,0.0,1,166.0,89.0,3.1,0,0
100,469,11:56,12:16,8,OL Reign,1st half,57.8,33.3,1,72.0,94.3,1.4,0,0
101,478,12:05,12:25,121,Portland Thorns,1st half,1.5,65.1,1,89.0,5.9,65.8,0,0
102,479,12:09,12:29,89,Portland Thorns,1st half,5.9,65.8,1,121.0,30.4,67.0,0,0
103,481,12:10,12:30,121,Portland Thorns,1st half,0.8,63.2,0,172.0,30.4,67.0,0,0
104,483,12:13,12:33,172,OL Reign,1st half,74.6,1.0,1,135.0,85.1,4.5,0,0
105,496,12:59,13:19,75,Portland Thorns,1st half,17.9,62.5,0,166.0,70.8,62.7,0,0
106,498,13:02,13:22,166,OL Reign,1st half,34.2,5.3,1,219.0,46.2,4.1,0,0
107,503,13:04,13:24,219,OL Reign,1st half,42.4,3.1,1,172.0,28.1,2.6,0,0
108,505,13:05,13:25,172,OL Reign,1st half,28.1,2.6,0,217.0,69.9,17.0,0,0
109,509,13:10,13:30,217,Portland Thorns,1st half,34.9,45.7,0,8.0,72.2,29.7,0,0
110,514,13:16,13:36,31,OL Reign,1st half,48.5,56.7,0,30.0,68.0,68.0,0,0
111,517,13:37,13:57,30,Portland Thorns,1st half,37.0,0.0,1,213.0,54.4,6.9,0,0
112,524,13:38,13:58,233,OL Reign,1st half,50.6,61.1,0,94.0,55.2,56.3,0,0
113,528,13:40,14:00,94,Portland Thorns,1st half,49.8,11.7,0,31.0,62.4,7.7,0,0
114,532,13:41,14:01,31,OL Reign,1st half,42.6,61.1,1,72.0,48.3,51.2,0,0
115,536,13:45,14:05,72,OL Reign,1st half,48.7,57.2,1,31.0,44.3,63.0,0,0
116,538,13:47,14:07,31,OL Reign,1st half,44.3,63.0,1,8.0,40.1,56.7,0,0
117,540,13:48,14:08,233,OL Reign,1st half,41.6,57.7,1,135.0,38.6,45.5,0,0
