,start_time,end_time,player_ID,team,action,half,pos_x,pos_y
1128,24:44,25:04,Alyssa Naeher,Chicago Red Stars,Interceptions,1st half,1.9,43.3
1129,25:22,25:42,Heather Ann OReilly,North Carolina Courage,Passes into the penalty box,1st half,105.0,0.0
1130,25:22,25:42,Heather Ann OReilly,North Carolina Courage,Passes accurate,1st half,105.0,0.0
1131,25:22,25:42,Heather Ann OReilly,North Carolina Courage,Corner attacks,1st half,105.0,0.0
1132,25:22,25:42,Heather Ann OReilly,North Carolina Courage,Corner attacks,1st half,105.0,0.0
1133,25:25,25:45,Jessica Marie McDonald,North Carolina Courage,Air challenges (lost),1st half,93.2,38.3
1134,25:25,25:45,Samantha Kerr,Chicago Red Stars,Air challenges (won),1st half,11.8,29.7
1135,25:25,25:45,Samantha Kerr,Chicago Red Stars,Challenges (won),1st half,11.8,29.7
1136,25:25,25:45,Jessica Marie McDonald,North Carolina Courage,Challenges (lost),1st half,93.2,38.3
1137,25:25,25:45,Samantha Kerr,Chicago Red Stars,Corner attacks,1st half,11.8,29.7
1138,25:27,25:47,Abby May Erceg,North Carolina Courage,Picking-ups,1st half,82.5,46.0
1139,25:27,25:47,Abby May Erceg,North Carolina Courage,Corner attacks,1st half,82.5,46.0
1140,25:27,25:47,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,82.5,46.0
1141,25:27,25:47,Abby May Erceg,North Carolina Courage,Corner attacks,1st half,82.5,46.0
1142,25:27,25:47,Abby May Erceg,North Carolina Courage,Picking-ups (in opp. half),1st half,82.5,46.0
1143,25:28,26:18,Lynn Williams,North Carolina Courage,Assists,1st half,101.6,7.4
1144,25:30,26:20,Alyssa Naeher,Chicago Red Stars,Goals conceded,1st half,3.4,27.1
1145,25:30,26:20,Jessica Marie McDonald,North Carolina Courage,Goals,1st half,101.6,40.9
1146,25:30,25:50,Jaelene Mckenzie Daniels,North Carolina Courage,Corner attacks,1st half,67.4,55.3
1147,25:30,25:50,Jaelene Mckenzie Daniels,North Carolina Courage,Dribbling,1st half,67.4,55.3
1148,25:33,25:53,Jaelene Mckenzie Daniels,North Carolina Courage,Corner attacks,1st half,81.1,50.8
1149,25:33,25:53,Jaelene Mckenzie Daniels,North Carolina Courage,Corner attacks,1st half,81.1,50.8
1150,25:33,25:53,Jaelene Mckenzie Daniels,North Carolina Courage,Crosses (accurate),1st half,81.1,50.8
1151,25:33,25:53,Jaelene Mckenzie Daniels,North Carolina Courage,Passes into the penalty box,1st half,81.1,50.8
1152,25:33,25:53,Jaelene Mckenzie Daniels,North Carolina Courage,Passes accurate,1st half,81.1,50.8
1153,25:33,25:53,Jaelene Mckenzie Daniels,North Carolina Courage,Corner attacks,1st half,81.1,50.8
1154,25:35,25:55,Samantha Mewis,North Carolina Courage,Corner attacks,1st half,96.6,28.0
1155,25:35,25:55,Danielle Colaprico,Chicago Red Stars,Air challenges (lost),1st half,8.4,40.0
1156,25:35,25:55,Samantha Mewis,North Carolina Courage,Challenges (won),1st half,96.6,28.0
1157,25:35,25:55,Danielle Colaprico,Chicago Red Stars,Challenges (lost),1st half,8.4,40.0
1158,25:35,25:55,Samantha Mewis,North Carolina Courage,Air challenges (won),1st half,96.6,28.0
1159,25:40,26:00,Lynn Williams,North Carolina Courage,Corner attacks,1st half,95.8,3.4
1160,25:40,26:00,Lynn Williams,North Carolina Courage,Picking-ups (in opp. half),1st half,95.8,3.4
1161,25:40,26:00,Lynn Williams,North Carolina Courage,Picking-ups,1st half,95.8,3.4
1162,25:43,26:03,Lynn Williams,North Carolina Courage,Corner attacks,1st half,101.6,7.4
1163,25:43,26:03,Lynn Williams,North Carolina Courage,Corner attacks,1st half,101.6,7.4
1164,25:43,26:03,Lynn Williams,North Carolina Courage,Crosses (accurate),1st half,101.6,7.4
1165,25:43,26:03,Lynn Williams,North Carolina Courage,Corner attacks,1st half,101.6,7.4
