,raw_event_ID,start_time,end_time,player_ID,team,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross,cross_blocked
384,1548,36:28,36:48,Savannah McCaskill,Chicago Red Stars,1st half,37.0,6.7,1,Yuki Ogimi-Nagasato,40.3,34.7,0,0
385,1552,36:33,36:53,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,49.8,36.9,0,Abby Dahlkemper,72.2,36.4,0,0
386,1556,36:34,36:54,Abby Dahlkemper,North Carolina Courage,1st half,32.8,31.6,1,Samantha Mewis,44.9,19.2,0,0
387,1557,36:37,36:57,Samantha Mewis,North Carolina Courage,1st half,44.9,19.2,0,Kathleen Camille Naughton,71.4,27.5,0,0
388,1563,36:40,37:00,Kathleen Camille Naughton,Chicago Red Stars,1st half,36.3,37.1,1,Danielle Colaprico,48.3,33.5,0,0
389,1566,36:44,37:04,Danielle Colaprico,Chicago Red Stars,1st half,52.9,30.2,1,Samantha Kerr,69.5,34.2,0,0
390,1569,36:46,37:06,Samantha Kerr,Chicago Red Stars,1st half,64.1,32.6,1,Danielle Colaprico,55.4,31.8,0,0
391,1571,36:47,37:07,Danielle Colaprico,Chicago Red Stars,1st half,56.7,30.4,1,Samantha Kerr,70.3,34.0,0,0
392,1575,36:50,37:10,Samantha Kerr,Chicago Red Stars,1st half,76.0,34.2,0,Abby Dahlkemper,79.0,38.5,0,0
393,1580,36:59,37:19,Stephanie Labbe,North Carolina Courage,1st half,10.5,2.2,0,Casey Short,50.6,3.8,0,0
394,1584,37:02,37:22,Casey Short,Chicago Red Stars,1st half,54.4,64.2,1,Morgan Gautrat,63.8,62.5,0,0
395,1589,37:04,37:24,Morgan Gautrat,Chicago Red Stars,1st half,60.3,62.0,1,Danielle Colaprico,55.0,55.1,0,0
396,1592,37:11,37:31,Danielle Colaprico,Chicago Red Stars,1st half,62.6,50.0,1,Samantha Kerr,81.5,39.3,0,0
397,1594,37:12,37:32,Samantha Kerr,Chicago Red Stars,1st half,81.5,39.3,1,Vanessa Sue Di Bernardo,78.3,40.5,0,0
398,1595,37:13,37:33,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,78.3,40.5,1,Savannah McCaskill,77.5,32.6,0,0
399,1606,37:21,37:41,Danielle Colaprico,Chicago Red Stars,1st half,58.8,54.6,1,Casey Short,56.9,60.8,0,0
400,1608,37:25,37:45,Casey Short,Chicago Red Stars,1st half,65.1,55.8,1,Morgan Gautrat,74.6,66.6,0,0
401,1611,37:29,37:49,Morgan Gautrat,Chicago Red Stars,1st half,78.3,64.4,1,Yuki Ogimi-Nagasato,84.2,58.7,0,0
402,1614,37:30,37:50,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,84.2,58.7,1,Morgan Gautrat,79.0,53.4,0,0
403,1618,37:33,37:53,Morgan Gautrat,Chicago Red Stars,1st half,79.0,53.4,0,Stephanie Labbe,103.5,26.6,0,0
404,1622,37:43,38:03,Stephanie Labbe,North Carolina Courage,1st half,8.4,43.3,1,Abby May Erceg,17.2,49.6,0,0
405,1624,37:50,38:10,Abby May Erceg,North Carolina Courage,1st half,24.8,52.4,1,Samantha Mewis,25.2,33.5,0,0
406,1627,37:53,38:13,Samantha Mewis,North Carolina Courage,1st half,24.8,29.9,1,Abby Dahlkemper,26.7,13.9,0,0
407,1630,37:54,38:14,Abby Dahlkemper,North Carolina Courage,1st half,26.7,13.9,1,Samantha Mewis,31.5,26.1,0,0
408,1633,37:57,38:17,Samantha Mewis,North Carolina Courage,1st half,35.5,22.7,1,Crystal Alyssia Dunn,46.4,12.5,0,0
409,1635,37:58,38:18,Crystal Alyssia Dunn,North Carolina Courage,1st half,46.4,12.5,1,Abby Dahlkemper,31.9,10.3,0,0
410,1637,38:01,38:21,Abby Dahlkemper,North Carolina Courage,1st half,31.7,12.0,1,Stephanie Labbe,17.4,31.6,0,0
411,1641,38:04,38:24,Stephanie Labbe,North Carolina Courage,1st half,17.4,30.9,1,Abby Dahlkemper,32.8,12.5,0,0
412,1644,38:06,38:26,Abby Dahlkemper,North Carolina Courage,1st half,33.8,13.4,1,Samantha Mewis,35.9,26.8,0,0
413,1647,38:10,38:30,Samantha Mewis,North Carolina Courage,1st half,33.6,22.0,1,Abby Dahlkemper,31.1,15.3,0,0
414,1652,38:14,38:34,Abby Dahlkemper,North Carolina Courage,1st half,44.1,9.3,0,Casey Short,65.5,4.8,0,0
415,1655,38:18,38:38,Casey Short,Chicago Red Stars,1st half,35.3,61.8,1,Kathleen Camille Naughton,24.8,49.1,0,0
416,1656,38:21,38:41,Kathleen Camille Naughton,Chicago Red Stars,1st half,24.8,49.1,1,Julie Beth Ertz,25.8,38.3,0,0
417,1657,38:24,38:44,Julie Beth Ertz,Chicago Red Stars,1st half,25.8,38.3,1,Danielle Colaprico,24.1,45.3,0,0
418,1658,38:27,38:47,Danielle Colaprico,Chicago Red Stars,1st half,24.1,45.3,1,Kathleen Camille Naughton,26.5,66.8,0,0
419,1659,38:34,38:54,Kathleen Camille Naughton,Chicago Red Stars,1st half,26.5,66.8,0,Heather Ann OReilly,58.0,64.9,0,0
420,1663,38:37,38:57,Heather Ann OReilly,North Carolina Courage,1st half,45.2,5.7,1,Samantha Mewis,53.1,12.0,0,0
421,1666,38:39,38:59,Samantha Mewis,North Carolina Courage,1st half,50.4,13.2,1,Denise O'Sullivan,49.3,30.6,0,0
422,1668,38:41,39:01,Denise O'Sullivan,North Carolina Courage,1st half,48.3,22.7,1,Samantha Mewis,43.7,17.2,0,0
