,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
241,2137,51:02,51:22,Jessica Marie McDonald,North Carolina Courage,dribble,1st half,42.8,2.6,1
242,2139,51:06,51:26,Jessica Marie McDonald,North Carolina Courage,Dribbles (Unsuccessful actions),1st half,62.8,6.9,null
243,2140,51:06,51:26,Jessica Marie McDonald,North Carolina Courage,challenge,1st half,62.8,6.9,0
244,2141,51:06,51:26,Casey Short,Chicago Red Stars,tackle,1st half,42.2,61.1,1
245,2142,51:06,51:26,Casey Short,Chicago Red Stars,challenge,1st half,42.2,61.1,1
246,2143,51:07,51:27,Kathleen Camille Naughton,Chicago Red Stars,recovery,1st half,30.5,57.2,null
247,2155,45:00,45:20,Morgan Gautrat,Chicago Red Stars,challenge,2nd half,35.9,23.7,1
248,2156,45:00,45:20,Samantha Mewis,North Carolina Courage,challenge,2nd half,69.1,44.3,0
249,2160,45:03,45:23,Katie Johnson Carreon,Chicago Red Stars,recovery,2nd half,41.8,14.4,null
250,2188,45:23,45:43,Heather Ann OReilly,North Carolina Courage,recovery,2nd half,20.2,5.5,null
251,2199,45:36,45:56,Lynn Williams,North Carolina Courage,dribble,2nd half,43.5,4.5,1
252,2203,45:46,46:06,Julie Beth Ertz,Chicago Red Stars,recovery,2nd half,17.4,59.1,null
253,2207,45:56,46:16,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,48.1,61.3,0
254,2208,45:56,46:16,Sarah Gorden,Chicago Red Stars,take_on,2nd half,56.9,6.7,1
255,2210,45:56,46:16,Denise O'Sullivan,North Carolina Courage,tackle,2nd half,48.1,61.3,0
256,2223,46:06,46:26,Yuki Ogimi-Nagasato,Chicago Red Stars,challenge,2nd half,98.3,46.5,0
257,2224,46:06,46:26,Abby Dahlkemper,North Carolina Courage,challenge,2nd half,6.7,21.5,1
258,2231,46:36,46:56,Crystal Alyssia Dunn,North Carolina Courage,dribble,2nd half,14.9,8.6,1
259,2234,46:37,46:57,Vanessa Sue Di Bernardo,Chicago Red Stars,foul,2nd half,82.5,59.1,null
260,2244,47:27,47:47,Danielle Colaprico,Chicago Red Stars,recovery,2nd half,58.4,54.6,null
261,2254,47:31,47:51,Morgan Gautrat,Chicago Red Stars,recovery,2nd half,55.0,40.9,null
262,2282,48:15,48:35,Lynn Williams,North Carolina Courage,challenge,2nd half,60.5,16.3,0
263,2283,48:15,48:35,Morgan Gautrat,Chicago Red Stars,tackle,2nd half,44.5,51.7,1
264,2285,48:15,48:35,Morgan Gautrat,Chicago Red Stars,challenge,2nd half,44.5,51.7,1
265,2286,48:17,48:37,Julie Beth Ertz,Chicago Red Stars,recovery,2nd half,41.6,45.3,null
266,2289,48:17,48:37,Julie Beth Ertz,Chicago Red Stars,dribble,2nd half,41.6,45.3,1
267,2303,48:42,49:02,Julie Beth Ertz,Chicago Red Stars,recovery,2nd half,37.0,43.6,null
268,2306,48:44,49:04,Denise O'Sullivan,North Carolina Courage,recovery,2nd half,37.0,26.3,null
269,2312,48:53,49:13,Debinha,North Carolina Courage,dribble,2nd half,62.6,53.4,1
270,2325,49:04,49:24,Julie Beth Ertz,Chicago Red Stars,challenge,2nd half,7.1,35.9,0
271,2326,49:04,49:24,Lynn Williams,North Carolina Courage,challenge,2nd half,97.9,32.1,1
272,2340,49:40,50:00,Samantha Kerr,Chicago Red Stars,dribble,2nd half,57.8,30.4,1
273,2345,49:46,50:06,Jaelene Mckenzie Daniels,North Carolina Courage,challenge,2nd half,11.1,58.9,0
